HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0304.74.10,03047410,,,,"Frozen hake fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.74.50,03047450,,,,"Fillets, frozen, of hake.",0.1,0.25
0304.75.10,03047510,,,,"Frozen Alaska pollack fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut.",0.1,0.25
0304.75.50,03047550,,,,"Fillets, frozen, of Alaska pollock, other than above.",0.1,0.25
0304.79.10,03047910,,,,"Frozen Bregmacerotidae et al. fish fillets, nesoi, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces.",0.1,0.25
0304.79.50,03047950,,,,"Frozen fillets of other fresh-water fish, flat fish, etc., nesoi, other than above.",0.1,0.25
0304.81.10,03048110,,,Salmon,"Frozen salmon fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight.",0.1,0.25
0304.81.50,03048150,,,Salmon,Other frozen salmon fillets.,0.1,0.25
0304.82.10,03048210,,,,"Frozen trout fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.82.50,03048250,,,,"Frozen trout fillets, other than above.",0.1,0.25
0304.83.10,03048310,,,,"Frozen “flat fish” fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.83.50,03048350,,,,"Frozen “other flat fish” fillets, other than above.",0.1,0.25
0304.84.00,03048400,,,,Frozen swordfish fillets.,0.1,0.25
0304.85.00,03048500,,,,Frozen toothfish fillets.,0.1,0.25
0304.86.00,03048600,,,,Frozen herring fillets.,0.1,0.25
0304.87.00,03048700,,,,Frozen tuna fillets.,0.1,0.25
0304.88.00,03048800,,,,"Dogfish, other shark, ray and skate fillets, frozen.",0.1,0.25
0304.89.10,03048910,,,,"Other frozen fish fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut into pieces of uniform weight and dimension.",0.1,0.25
0304.89.50,03048950,,,,"Other frozen fish fillets, other than above.",0.1,0.25
0304.91.10,03049110,,,,"Chilled or Frozen Swordfish fillets, in bulk or in immediate containers weighing with their contents over 6.8 kg each.",0.1,0.25
0304.91.90,03049190,,,,"Chilled or Frozen Swordfish Fillets, nesoi.",0.1,0.25
0304.92.10,03049210,,,,"Chilled or Frozen Toothfish fillets, in bulk or in immediate containers weighing with their contents over 6.8 kg each.",0.1,0.25
0304.92.90,03049290,,,,"Chilled or Frozen Toothfish Fillets, nesoi.",0.1,0.25
0304.93.10,03049310,,,,"Chilled or Frozen tilapia & like fillets, nesoi, in bulk or in immediate containers weighing >6.8 kg each.",0.1,0.25
0304.93.90,03049390,,,,"Tilapias, catfish, carp, eels, nile perch & snakehead chilled or frozen fillets, nesoi.",0.1,0.25
0304.94.10,03049410,,,,"Alaska pollack chilled or frozen fillets, in bulk or in immediate containers weighing with their contents over 6.8 kg each.",0.1,0.25
0304.94.90,03049490,,,,"Alaska pollack, chilled or frozen fillets, nesoi.",0.1,0.25
0304.95.10,03049510,,,,"Chilled or Frozen fillets, Bregmacerotidae & like, nesoi, in bulk or in immediate containers >6.8 kg each.",0.1,0.25
0304.95.90,03049590,,,,"Bregamacerotidae other fish, other than Alaska pollack, nesoi, chilled or frozen fillets, nesoi.",0.1,0.25
0304.96.00,03049600,,,,"Dogfish and other sharks, frozen, nesoi.",0.1,0.25
0304.97.00,03049700,,,,"Ray and skates, frozen, nesoi.",0.1,0.25
0304.99.11,03049911,,,,"Chilled or Frozen fillets, nesoi, in bulk or in immediate containers weighing with their contents over 6.8 kg each.",0.1,0.25
0304.99.91,03049991,,,,"Chilled or Frozen fillets, nesoi.",0.1,0.25
0305.10.20,03051020,,,,"Flours, meals and pellets of fish, fit for human consumption, in bulk or in immediate containers weighing with contents over 6.8 kg each.",0.1,0.25
0305.10.40,03051040,,,,"Flours, meals and pellets of fish, fit for human consumption, other than in bulk or immediate containers weighing contents over 6.8 kg each.",0.1,0.25
0305.20.20,03052020,,,,"Sturgeon roe, dried, smoked, salted or in brine.",0.1,0.25
0305.20.40,03052040,,,,"Fish livers and roes, other than sturgeon roe, dried, smoked, salted or in brine.",0.1,0.25
0305.31.01,03053101,,,,"Tilapia, catfish, carp, eel, nile perch, snakehead fillets, dried or salted in brine, but not smoked.",0.1,0.25
0305.32.00,03053200,,,,"“Flat fish” fillets, nesoi, dried, salted or in brine, but not smoked.",0.1,0.25
0305.39.20,03053920,,,,"Fillets of herrings, dried, salted or in brine, but not smoked, in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.39.40,03053940,,,,"Fillets of mackerel, dried, salted or in brine, but not smoked, in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.39.61,03053961,,,,"Herring and other fist fillets, dried, salted or in brine, but not smoked.",0.1,0.25
0305.41.00,03054100,,,Salmon,"Smoked Pacific, Atlantic and Danube salmon, including fillets.",0.1,0.25
0305.42.00,03054200,,,,"Smoked herrings, including fillets.",0.1,0.25
0305.43.00,03054300,,,Trout,"Smoked trout, including fillets.",0.1,0.25
0305.44.01,03054401,,,,"Tilapia, catfish, carp, eel, nile perch, snakehead including fillets, smoked.",0.1,0.25
0305.49.20,03054920,,,,"Smoked mackerel, including fillets.",0.1,0.25
0305.49.40,03054940,,,,"Smoked fish, including fillets, nesoi.",0.1,0.25
0305.51.00,03055100,,,,"Dried cod, whether or not salted but not smoked.",0.1,0.25
0305.52.00,03055200,,,,"Tilapia, catfish, carp, eel, nile perch, snakehead, not smoked, dried, whether or not salted.",0.1,0.25
0305.53.00,03055300,,,,"Fish of families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae,Melanonidae, Merlucciidae, Moridae and Muraenolepididae, dried but not smoked.",0.1,0.25
0305.54.00,03055400,,,,"Herrings, anchovies, sardines, sardinella, brisling or sprat, mackerel, Indian mackeral, seerfish, dried, whether or not salted, but not smoked.",0.1,0.25
0305.59.00,03055900,,,,"Dried fish, other than cod or shark fins, whether or not salted but not smoked.",0.1,0.25
0305.61.20,03056120,,,,"Herrings, in brine or salted but not dried or smoked, in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.61.40,03056140,,,,"Herrings, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.62.00,03056200,,,,"Cod, in brine or salted but not dried or smoked.",0.1,0.25
0305.63.20,03056320,,,,"Anchovies, in brine or salted but not dried or smoked, in immediate airtight containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.63.40,03056340,,,,"Anchovies, in brine or salted but not dried or smoked, in immediate containers, nesoi, weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.63.60,03056360,,,,"Anchovies, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.64.10,03056410,,,,"Tilapias, catfish, carp, eel, Nile perch, or snakehead, in brine or salted but not dried or smoked, in immediate containers <6.8 kg.",0.1,0.25
0305.64.50,03056450,,,,"Tilapias, catfish, carp, eel, Nile perch, or snakehead, in brine or salted but not dried or smoked, other than in containers <6.8 kg.",0.1,0.25
0305.69.10,03056910,,,,"Cusk, haddock, hake, and pollock, in brine or salted but not dried or smoked.",0.1,0.25
0305.69.20,03056920,,,,"Mackerel, in brine or salted but not dried or smoked, in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.69.30,03056930,,,,"Mackerel, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each.",0.1,0.25
0305.69.40,03056940,,,Salmon,"Salmon, in brine or salted but not dried or smoked.",0.1,0.25
